structure,total,inUse,free,time
South Ashley (Kline Lot),143.0,3.0,140.0,1670220428.29479
4th & William,960.0,72.0,888.0,1670220428.29479
4th & Wash.,270.0,37.0,233.0,1670220428.29479
1st & Wash.,243.0,243.0,0.0,1670220428.29479
1st and William,110.0,0.0,110.0,1670224025.865109
Library Lane,744.0,62.0,682.0,1670224025.865109
Maynard,791.0,56.0,735.0,1670224025.865109
Forest Garage,853.0,1.0,852.0,1670224025.865109
Liberty Square (Tally Hall),540.0,42.0,498.0,1670224025.865109
Ann Ashley,811.0,2.0,809.0,1670224025.865109
South Ashley (Kline Lot),143.0,3.0,140.0,1670224025.865109
4th & William,960.0,72.0,888.0,1670224025.865109
4th & Wash.,270.0,37.0,233.0,1670224025.865109
1st & Wash.,243.0,243.0,0.0,1670224025.865109
1st and William,110.0,0.0,110.0,1670227639.6594746
Library Lane,744.0,62.0,682.0,1670227639.6594746
Maynard,791.0,56.0,735.0,1670227639.6594746
Forest Garage,853.0,3.0,850.0,1670227639.6594746
Liberty Square (Tally Hall),540.0,42.0,498.0,1670227639.6594746
Ann Ashley,811.0,2.0,809.0,1670227639.6594746
South Ashley (Kline Lot),143.0,2.0,141.0,1670227639.6594746
4th & William,960.0,71.0,889.0,1670227639.6594746
4th & Wash.,270.0,37.0,233.0,1670227639.6594746
1st & Wash.,243.0,243.0,0.0,1670227639.6594746
1st and William,110.0,0.0,110.0,1670231226.6231124
Library Lane,744.0,62.0,682.0,1670231226.6231124
Maynard,791.0,56.0,735.0,1670231226.6231124
Forest Garage,853.0,3.0,850.0,1670231226.6231124
Liberty Square (Tally Hall),540.0,42.0,498.0,1670231226.6231124
Ann Ashley,811.0,2.0,809.0,1670231226.6231124
South Ashley (Kline Lot),143.0,2.0,141.0,1670231226.6231124
4th & William,960.0,71.0,889.0,1670231226.6231124
4th & Wash.,270.0,37.0,233.0,1670231226.6231124
1st & Wash.,243.0,243.0,0.0,1670231226.6231124
1st and William,110.0,0.0,110.0,1670234827.1028154
Library Lane,744.0,62.0,682.0,1670234827.1028154
Maynard,791.0,56.0,735.0,1670234827.1028154
Forest Garage,853.0,3.0,850.0,1670234827.1028154
Liberty Square (Tally Hall),540.0,42.0,498.0,1670234827.1028154
Ann Ashley,811.0,2.0,809.0,1670234827.1028154
South Ashley (Kline Lot),143.0,2.0,141.0,1670234827.1028154
4th & William,960.0,71.0,889.0,1670234827.1028154
4th & Wash.,270.0,37.0,233.0,1670234827.1028154
1st & Wash.,243.0,243.0,0.0,1670234827.1028154
1st and William,110.0,0.0,110.0,1670238427.0385714
Library Lane,744.0,62.0,682.0,1670238427.0385714
Maynard,791.0,56.0,735.0,1670238427.0385714
Forest Garage,853.0,3.0,850.0,1670238427.0385714
Liberty Square (Tally Hall),540.0,42.0,498.0,1670238427.0385714
Ann Ashley,811.0,2.0,809.0,1670238427.0385714
South Ashley (Kline Lot),143.0,2.0,141.0,1670238427.0385714
4th & William,960.0,71.0,889.0,1670238427.0385714
4th & Wash.,270.0,37.0,233.0,1670238427.0385714
1st & Wash.,243.0,243.0,0.0,1670238427.0385714
1st and William,110.0,0.0,110.0,1670242039.122663
Library Lane,744.0,87.0,657.0,1670242039.122663
Maynard,791.0,81.0,710.0,1670242039.122663
Forest Garage,853.0,241.0,612.0,1670242039.122663
Liberty Square (Tally Hall),540.0,85.0,455.0,1670242039.122663
Ann Ashley,811.0,89.0,722.0,1670242039.122663
South Ashley (Kline Lot),143.0,2.0,141.0,1670242039.122663
4th & William,960.0,70.0,890.0,1670242039.122663
4th & Wash.,270.0,8.0,262.0,1670242039.122663
1st & Wash.,243.0,243.0,0.0,1670242039.122663
1st and William,110.0,0.0,110.0,1670245629.4406807
Library Lane,744.0,87.0,657.0,1670245629.4406807
Maynard,791.0,81.0,710.0,1670245629.4406807
Forest Garage,853.0,241.0,612.0,1670245629.4406807
Liberty Square (Tally Hall),540.0,85.0,455.0,1670245629.4406807
Ann Ashley,811.0,89.0,722.0,1670245629.4406807
South Ashley (Kline Lot),143.0,2.0,141.0,1670245629.4406807
4th & William,960.0,70.0,890.0,1670245629.4406807
4th & Wash.,270.0,8.0,262.0,1670245629.4406807
1st & Wash.,243.0,243.0,0.0,1670245629.4406807
1st and William,110.0,0.0,110.0,1670249227.2873404
Library Lane,744.0,87.0,657.0,1670249227.2873404
Maynard,791.0,81.0,710.0,1670249227.2873404
Forest Garage,853.0,241.0,612.0,1670249227.2873404
Liberty Square (Tally Hall),540.0,85.0,455.0,1670249227.2873404
Ann Ashley,811.0,89.0,722.0,1670249227.2873404
South Ashley (Kline Lot),143.0,2.0,141.0,1670249227.2873404
4th & William,960.0,70.0,890.0,1670249227.2873404
4th & Wash.,270.0,8.0,262.0,1670249227.2873404
1st & Wash.,243.0,243.0,0.0,1670249227.2873404
1st and William,110.0,0.0,110.0,1670252828.2009656
Library Lane,744.0,87.0,657.0,1670252828.2009656
Maynard,791.0,81.0,710.0,1670252828.2009656
Forest Garage,853.0,241.0,612.0,1670252828.2009656
Liberty Square (Tally Hall),540.0,85.0,455.0,1670252828.2009656
Ann Ashley,811.0,89.0,722.0,1670252828.2009656
